# The element -> attribute-name dataset vilan-ide's element-head completion
# is generated from (tracker E69). GENERATED FILE -- do not hand-edit.
#
# refresh:   python3 scripts/regen-html-attributes.py --fetch   (network)
# consumer:  crates/vilan-ide/src/html_attributes_sync.rs   (TSV -> Rust)
#            the ONE implementation of that arrow (N107). It renders
#            html_attributes.rs from these rows and diffs it byte for byte on
#            every `cargo test`, offline; VILAN_REGENERATE_HTML_ATTRIBUTES=1
#            rewrites the table instead of failing.
#
# `element` is a tag name, `*` (every element) or `svg:*` (every SVG-shaped
# element). A row with an EMPTY attribute registers the tag and nothing else.
# Only names a vilan element head can spell are extracted: a namespaced entry
# (`xml:space`) has no head spelling, and an SVG `on…` row is an event handler,
# which the `*`/html-event-handler-index rows carry in their own spelling.
#
# fetched:   2026-09-17
# source:    https://html.spec.whatwg.org/multipage/indices.html
#            sha256 6153c9adfca5a155a57f3afa17f66d71d830d54df2525b4710dd800348c4bdef
# source:    https://www.w3.org/TR/SVG2/attindex.html
#            sha256 d008a1b62808268bfda853659e425554f6fbc9b2e3f415bc2b6aad437712bd50
#
# element	attribute	source
ellipse	aria-colspan	svg-attribute-index
ellipse	aria-controls	svg-attribute-index
ellipse	aria-current	svg-attribute-index
ellipse	aria-describedby	svg-attribute-index
ellipse	aria-details	svg-attribute-index
ellipse	aria-disabled	svg-attribute-index
ellipse	aria-dropeffect	svg-attribute-index
ellipse	aria-errormessage	svg-attribute-index
ellipse	aria-expanded	svg-attribute-index
ellipse	aria-flowto	svg-attribute-index
ellipse	aria-grabbed	svg-attribute-index
ellipse	aria-haspopup	svg-attribute-index
ellipse	aria-hidden	svg-attribute-index
ellipse	aria-invalid	svg-attribute-index
ellipse	aria-keyshortcuts	svg-attribute-index
ellipse	aria-label	svg-attribute-index
ellipse	aria-labelledby	svg-attribute-index
ellipse	aria-level	svg-attribute-index
ellipse	aria-live	svg-attribute-index
ellipse	aria-modal	svg-attribute-index
ellipse	aria-multiline	svg-attribute-index
ellipse	aria-multiselectable	svg-attribute-index
ellipse	aria-orientation	svg-attribute-index
ellipse	aria-owns	svg-attribute-index
ellipse	aria-placeholder	svg-attribute-index
ellipse	aria-posinset	svg-attribute-index
ellipse	aria-pressed	svg-attribute-index
ellipse	aria-readonly	svg-attribute-index
ellipse	aria-relevant	svg-attribute-index
ellipse	aria-required	svg-attribute-index
ellipse	aria-roledescription	svg-attribute-index
ellipse	aria-rowcount	svg-attribute-index
ellipse	aria-rowindex	svg-attribute-index
ellipse	aria-rowspan	svg-attribute-index
ellipse	aria-selected	svg-attribute-index
ellipse	aria-setsize	svg-attribute-index
ellipse	aria-sort	svg-attribute-index
ellipse	aria-valuemax	svg-attribute-index
ellipse	aria-valuemin	svg-attribute-index
ellipse	aria-valuenow	svg-attribute-index
ellipse	aria-valuetext	svg-attribute-index
ellipse	class	svg-attribute-index
ellipse	id	svg-attribute-index
ellipse	lang	svg-attribute-index
ellipse	pathLength	svg-attribute-index
ellipse	requiredExtensions	svg-attribute-index
ellipse	role	svg-attribute-index
ellipse	style	svg-attribute-index
ellipse	systemLanguage	svg-attribute-index
ellipse	tabindex	svg-attribute-index
embed	height	html-attribute-index
embed	src	html-attribute-index
embed	type	html-attribute-index
embed	width	html-attribute-index
feBlend		svg-element-index
feBlend	class	svg-attribute-index
feBlend	height	svg-attribute-index
feBlend	id	svg-attribute-index
feBlend	in	svg-attribute-index
feBlend	in2	svg-attribute-index
feBlend	lang	svg-attribute-index
feBlend	mode	svg-attribute-index
feBlend	result	svg-attribute-index
feBlend	style	svg-attribute-index
feBlend	tabindex	svg-attribute-index
feBlend	width	svg-attribute-index
feBlend	x	svg-attribute-index
feBlend	y	svg-attribute-index
feColorMatrix		svg-element-index
feColorMatrix	class	svg-attribute-index
feColorMatrix	height	svg-attribute-index
feColorMatrix	id	svg-attribute-index
feColorMatrix	in	svg-attribute-index
feColorMatrix	lang	svg-attribute-index
feColorMatrix	result	svg-attribute-index
feColorMatrix	style	svg-attribute-index
feColorMatrix	tabindex	svg-attribute-index
feColorMatrix	type	svg-attribute-index
feColorMatrix	values	svg-attribute-index
feColorMatrix	width	svg-attribute-index
feColorMatrix	x	svg-attribute-index
feColorMatrix	y	svg-attribute-index
feComponentTransfer		svg-element-index
feComponentTransfer	class	svg-attribute-index
feComponentTransfer	height	svg-attribute-index
feComponentTransfer	id	svg-attribute-index
feComponentTransfer	in	svg-attribute-index
feComponentTransfer	lang	svg-attribute-index
feComponentTransfer	result	svg-attribute-index
feComponentTransfer	style	svg-attribute-index
feComponentTransfer	tabindex	svg-attribute-index
feComponentTransfer	width	svg-attribute-index
feComponentTransfer	x	svg-attribute-index
feComponentTransfer	y	svg-attribute-index
feComposite		svg-element-index
feComposite	class	svg-attribute-index
feComposite	height	svg-attribute-index
feComposite	id	svg-attribute-index
feComposite	in	svg-attribute-index
feComposite	in2	svg-attribute-index
feComposite	k1	svg-attribute-index
feComposite	k2	svg-attribute-index
feComposite	k3	svg-attribute-index
feComposite	k4	svg-attribute-index
feComposite	lang	svg-attribute-index
feComposite	operator	svg-attribute-index
feComposite	result	svg-attribute-index
feComposite	style	svg-attribute-index
feComposite	tabindex	svg-attribute-index
feComposite	width	svg-attribute-index
feComposite	x	svg-attribute-index
feComposite	y	svg-attribute-index
feConvolveMatrix		svg-element-index
feConvolveMatrix	bias	svg-attribute-index
feConvolveMatrix	class	svg-attribute-index
feConvolveMatrix	divisor	svg-attribute-index
feConvolveMatrix	edgeMode	svg-attribute-index
feConvolveMatrix	height	svg-attribute-index
feConvolveMatrix	id	svg-attribute-index
feConvolveMatrix	in	svg-attribute-index
feConvolveMatrix	kernelMatrix	svg-attribute-index
feConvolveMatrix	kernelUnitLength	svg-attribute-index
feConvolveMatrix	lang	svg-attribute-index
feConvolveMatrix	order	svg-attribute-index
feConvolveMatrix	preserveAlpha	svg-attribute-index
feConvolveMatrix	result	svg-attribute-index
feConvolveMatrix	style	svg-attribute-index
feConvolveMatrix	tabindex	svg-attribute-index
feConvolveMatrix	targetX	svg-attribute-index
feConvolveMatrix	targetY	svg-attribute-index
feConvolveMatrix	width	svg-attribute-index
feConvolveMatrix	x	svg-attribute-index
feConvolveMatrix	y	svg-attribute-index
feDiffuseLighting		svg-element-index
feDiffuseLighting	class	svg-attribute-index
feDiffuseLighting	diffuseConstant	svg-attribute-index
feDiffuseLighting	height	svg-attribute-index
feDiffuseLighting	id	svg-attribute-index
feDiffuseLighting	in	svg-attribute-index
feDiffuseLighting	kernelUnitLength	svg-attribute-index
feDiffuseLighting	lang	svg-attribute-index
feDiffuseLighting	result	svg-attribute-index
feDiffuseLighting	style	svg-attribute-index
feDiffuseLighting	surfaceScale	svg-attribute-index
feDiffuseLighting	tabindex	svg-attribute-index
feDiffuseLighting	width	svg-attribute-index
feDiffuseLighting	x	svg-attribute-index
feDiffuseLighting	y	svg-attribute-index
feDisplacementMap		svg-element-index
feDisplacementMap	class	svg-attribute-index
feDisplacementMap	height	svg-attribute-index
feDisplacementMap	id	svg-attribute-index
feDisplacementMap	in	svg-attribute-index
feDisplacementMap	in2	svg-attribute-index
feDisplacementMap	lang	svg-attribute-index
feDisplacementMap	result	svg-attribute-index
feDisplacementMap	scale	svg-attribute-index
feDisplacementMap	style	svg-attribute-index
